"Crash ID","Crash Date Time","Year","Full Route Name","Milepoint","Crash Severity","Manner of Collision","Roadway Junction Type ","Light Condition","Weather Condition","Roadway Surface Condition","Adverse Weather","Number of Vehicles Involved","Route Type","County","Crash Verified","Countermeasures","Crash Attributes","Crash Narrative","Crash Type","Left or U-Turn Involved","Location Description","Main Road Name","Route ID","Route Direction","Roadway Type","Roadway Description","Segment AADT"
"11097016","09/22/2018 02:09 PM",2018,"0115P",0.82,"No injury/PDO","Front to Rear","Ramp Intersection With Crossroad","Daylight","Clear","Dry","N",2,"State","Utah",true,,"Intersection Related","Narrative not currently available","Rear-End","N","900 NORTH MAIN ST","900 NORTH MAIN ST","0115","P","M","[""Two-Way, Not Divided With a Continuous Left Turn Lane"",""Two-Way, Not Divided With a Continuous Left Turn Lane""]",3293
"11114208","11/08/2018 12:00 AM",2018,"0115P",0.559,"No injury/PDO","Sideswipe Same Direction","Business Drive","Dark - Lighted","Clear","Dry","N",2,"State","Utah",true,,"[""Night Dark Condition"",""Right Turn Involved""]","Narrative not currently available","Other","N",,"MAIN STREET","0115","P","M","[""Two-Way, Not Divided"",""Two-Way, Not Divided""]",16760
"11114976","11/07/2018 11:56 AM",2018,"0115P",0.829,"No injury/PDO","Angle","Ramp Intersection With Crossroad","Daylight","Clear","Dry","N",2,"State","Utah",true,"Countermeasure: Right Turn Lane","[""Heavy Truck Involved"",""Intersection Related"",""Right Turn Involved""]","Narrative not currently available","Other","N","789 N MAIN ST, at BETWEEN: E 800 NORTH ST & E 600 NORTH ST","789 N MAIN ST","0115","P","M","[""Two-Way, Divided, Unprotected Median"",""Two-Way, Divided, Unprotected Median""]",3293
"11117689","11/21/2018 05:30 PM",2018,"0115P",0.779,"No injury/PDO","Front to Rear","No Special Feature/Junction","Dark - Lighted","Clear","Dry","N",3,"State","Utah",true,,"Night Dark Condition","Narrative not currently available","Rear-End","N","925 N MAIN ST, at BETWEEN: I15S X250 ON & I15N X250 OFF","925 N MAIN ST","0115","P","M","[""Two-Way, Divided, Unprotected Median"",""Two-Way, Divided, Unprotected Median"",""Two-Way, Divided, Unprotected Median""]",3293
"11121696","12/02/2018 04:50 AM",2018,"0115P",0.829,"No injury/PDO","Not Applicable/Single Vehicle","Ramp Intersection With Crossroad","Dark - Lighted","Snowing","Snow","Y",1,"State","Utah",true,,"[""Adverse Roadway Surf Condition"",""Roadway Departure"",""Adverse Weather Involved"",""Collision With Fixed Object"",""Intersection Related"",""Left U Turn Involved"",""Night Dark Condition""]","Narrative not currently available","Left Turn at Intersection","Y","933 N MAIN ST, at BETWEEN: I15S X250 ON & I15N X250 OFF","933 N MAIN ST","0115","P","M","Two-Way, Not Divided",3293
"11124775","12/11/2018 05:32 PM",2018,"0115P",0.67,"No injury/PDO","Sideswipe Same Direction","No Special Feature/Junction","Dark - Lighted","Clear","Dry","N",2,"State","Utah",true,,"Night Dark Condition","Narrative not currently available","Other","N","900 N MAIN ST, at BETWEEN: E 800 NORTH ST & E 600 NORTH ST","900 N MAIN ST","0115","P","M","[""Two-Way, Not Divided"",""Two-Way, Not Divided""]",16760
"1900544413","04/08/2019 09:10 AM",2019,"0115P",0.604,"No injury/PDO","Angle","Business Drive","Daylight","Clear","Dry","N",2,"State","Utah",true,,,"Narrative not currently available","Mid-Block Urban","N","810 N MAIN ST, at  Feet  of Between: E 800 NORTH ST & E 600 NORTH ST, at  tenths of a mile  of MP","810 N MAIN ST","0115","P","M","[""Two-Way, Not Divided With a Continuous Left Turn Lane"",""Two-Way, Not Divided With a Continuous Left Turn Lane""]",16760
"1900545324","04/10/2019 09:50 AM",2019,"0115P",0.758,"No injury/PDO","Sideswipe Same Direction","Bridge (overpass/underpass)","Daylight","Snowing","Wet","Y",2,"State","Utah",true,,"[""Adverse Roadway Surf Condition"",""Adverse Weather Involved"",""Collision With Fixed Object""]","Narrative not currently available","Other","N","925 N MAIN ST, at  Feet  of Between: I15S X250 ON & I15N X250 OFF, at  tenths of a mile  of MP","925 N MAIN ST","0115","P","M","[""Two-Way, Divided, Unprotected Median"",""Two-Way, Divided, Unprotected Median""]",3293
"1900553058","05/17/2019 02:34 PM",2019,"0115P",0.82,"No injury/PDO","Front to Rear","Ramp Intersection With Crossroad","Daylight","Rain","Wet","Y",2,"State","Utah",true,,"[""Adverse Roadway Surf Condition"",""Adverse Weather Involved"",""Intersection Related""]","Narrative not currently available","Rear-End","N","925 N MAIN ST, at  Feet  of Between: I15S X250 ON & I15N X250 OFF, at  tenths of a mile  of MP","925 N MAIN ST","0115","P","M","[""Two-Way, Not Divided"",""Two-Way, Not Divided""]",3293
"1900555714","05/31/2019 12:57 PM",2019,"0115P",0.564,"No injury/PDO","Angle","Business Drive","Daylight","Cloudy","Dry","N",2,"State","Utah",true,,"Right Turn Involved","Narrative not currently available","Mid-Block Urban","N","789 N MAIN ST, at  Feet  of Between: E 800 NORTH ST & E 600 NORTH ST, at  tenths of a mile  of MP","789 N MAIN ST","0115","P","M","[""Parking Lot Aisle/Stall"",""Parking Lot Aisle/Stall""]",16760
