"Crash ID","Crash Date Time","Year","Full Route Name","Milepoint","Crash Severity","Manner of Collision","Roadway Junction Type ","Light Condition","Weather Condition","Roadway Surface Condition","Number of Vehicles Involved","Route Type","Crash Verified","Crash Type"
"11028019","01/11/2018 08:27 PM",2018,"0015PR25001",0.201,"No injury/PDO","Sideswipe Same Direction","No Special Feature/Junction","Dark - Lighted","Clear","Dry",2,"State",true,"Other"
"11028798","01/14/2018 06:56 PM",2018,"0015NR25003",0.181,"No injury/PDO","Front to Rear","Off-Ramp","Dark - Lighted","Clear","Dry",2,"State",true,"Rear-End"
"11036864","02/12/2018 09:05 PM",2018,"0115P",0.709,"Possible injury","Front to Rear","Ramp Intersection With Crossroad","Dark - Not Lighted","Clear","Dry",2,"State",true,"Left Turn at Intersection"
"11039512","02/17/2018 07:25 PM",2018,"0115P",0.832,"No injury/PDO","Sideswipe Same Direction","4-Leg Intersection","Dark - Lighted","Clear","Dry",2,"State",true,"Other"
"11061697","05/08/2018 06:59 PM",2018,"0115P",0.653,"No injury/PDO","Parked Vehicle","Business Drive","Daylight","Clear","Dry",3,"State",true,"Mid-Block Urban"
"11068511","06/12/2018 06:10 PM",2018,"0115P",0.765,"No injury/PDO","Front to Rear","No Special Feature/Junction","Daylight","Clear","Dry",2,"State",true,"Rear-End"
"11071463","06/21/2018 03:45 PM",2018,"0115P",0.855,"No injury/PDO","Sideswipe Opposite Direction","4-Leg Intersection","Daylight","Clear","Dry",2,"State",true,"Left Turn at Intersection"
"11095113","09/11/2018 11:54 AM",2018,"0015NR25007",0.03,"No injury/PDO","Angle","4-Leg Intersection","Daylight","Clear","Dry",2,"State",true,"Other"
"11097016","09/22/2018 02:09 PM",2018,"0115P",0.82,"No injury/PDO","Front to Rear","Ramp Intersection With Crossroad","Daylight","Clear","Dry",2,"State",true,"Rear-End"
"11114976","11/07/2018 11:56 AM",2018,"0115P",0.829,"No injury/PDO","Angle","Ramp Intersection With Crossroad","Daylight","Clear","Dry",2,"State",true,"Other"
"11117689","11/21/2018 05:30 PM",2018,"0115P",0.779,"No injury/PDO","Front to Rear","No Special Feature/Junction","Dark - Lighted","Clear","Dry",3,"State",true,"Rear-End"
"11119951","11/12/2018 03:30 PM",2018,"0015NR25007",0.03,"No injury/PDO","Front to Rear","Off-Ramp","Daylight","Clear","Dry",2,"State",true,"Rear-End"
"11121696","12/02/2018 04:50 AM",2018,"0115P",0.829,"No injury/PDO","Not Applicable/Single Vehicle","Ramp Intersection With Crossroad","Dark - Lighted","Snowing","Snow",1,"State",true,"Left Turn at Intersection"
"11124775","12/11/2018 05:32 PM",2018,"0115P",0.67,"No injury/PDO","Sideswipe Same Direction","No Special Feature/Junction","Dark - Lighted","Clear","Dry",2,"State",true,"Other"
